Date,LTT,,,
2023-11-24T08:44:00.000Z,"43,713.85",,,
2023-11-24T08:45:00.000Z,"43,710.65",,,
2023-11-24T08:46:00.000Z,"43,705.75",,,
2023-11-24T08:47:00.000Z,"43,709.30",,,
2023-11-24T08:48:00.000Z,"43,684.10",,,
2023-11-24T08:49:00.000Z,"43,740.55",,,
2023-11-24T08:50:00.000Z,"43,745.45",,,
2023-11-24T08:51:00.000Z,"43,743.10",,,
2023-11-24T08:52:00.000Z,"43,749.50",,,
2023-11-24T08:53:00.000Z,"43,727.75",,,
2023-11-24T08:54:00.000Z,"43,746.50",,,
2023-11-24T08:55:00.000Z,"43,745.70",,,
2023-11-24T08:56:00.000Z,"43,758.45",,,
2023-11-24T08:57:00.000Z,"43,758.85",,,
2023-11-24T08:58:00.000Z,"43,758.05",,,
2023-11-24T08:59:00.000Z,"43,752.85",,,
2023-11-24T09:00:00.000Z,"43,756.85",,,
2023-11-24T09:01:00.000Z,"43,755.30",,,
2023-11-24T09:02:00.000Z,"43,739.05",,,
2023-11-24T09:03:00.000Z,"43,733.85",,,
2023-11-24T09:04:00.000Z,"43,741.15",,,
2023-11-24T09:05:00.000Z,"43,735.45",,,
2023-11-24T09:06:00.000Z,"43,737.25",,,
2023-11-24T09:07:00.000Z,"43,737.35",,,
2023-11-24T09:08:00.000Z,"43,736.10",,,
2023-11-24T09:09:00.000Z,"43,752.95",,,
2023-11-24T09:10:00.000Z,"43,738.80",,,
2023-11-24T09:11:00.000Z,"43,729.65",,,
2023-11-24T09:12:00.000Z,"43,751.10",,,
2023-11-24T09:13:00.000Z,"43,753.80",,,
2023-11-24T09:14:00.000Z,"43,747.80",,,
2023-11-24T09:15:00.000Z,"43,750.20",,,
2023-11-24T09:16:00.000Z,"43,746.95",,,
2023-11-24T09:17:00.000Z,"43,740.25",,,
2023-11-24T09:18:00.000Z,"43,727.60",,,
2023-11-24T09:19:00.000Z,"43,743.40",,,
2023-11-24T09:20:00.000Z,"43,746.50",,,
2023-11-24T09:21:00.000Z,"43,750.80",,,
2023-11-24T09:22:00.000Z,"43,746.50",,,
2023-11-24T09:23:00.000Z,"43,746.80",,,
2023-11-24T09:24:00.000Z,"43,758.10",,,
2023-11-24T09:25:00.000Z,"43,747.40",,,
2023-11-24T09:26:00.000Z,"43,752.20",,,
2023-11-24T09:27:00.000Z,"43,754.65",,,
2023-11-24T09:28:00.000Z,"43,755.55",,,
2023-11-24T09:29:00.000Z,"43,759.45",,,
2023-11-24T09:30:00.000Z,"43,759.40",,,
2023-11-24T09:31:00.000Z,"43,748.35",,,
2023-11-24T09:32:00.000Z,"43,738.95",,,
2023-11-24T09:33:00.000Z,"43,751.70",,,
2023-11-24T09:34:00.000Z,"43,752.10",,,
2023-11-24T09:35:00.000Z,"43,751.85",,,
2023-11-24T09:36:00.000Z,"43,752.10",,,
2023-11-24T09:37:00.000Z,"43,751.30",,,
2023-11-24T09:38:00.000Z,"43,751.55",,,
2023-11-24T09:39:00.000Z,"43,749.20",,,
2023-11-24T09:40:00.000Z,"43,754.10",,,
2023-11-24T09:41:00.000Z,"43,773.15",,,
2023-11-24T09:42:00.000Z,"43,799.50",,,
2023-11-24T09:43:00.000Z,"43,789.80",,,
2023-11-24T09:44:00.000Z,"43,782.00",,,
2023-11-24T09:45:00.000Z,"43,781.75",,,
2023-11-24T09:46:00.000Z,"43,794.95",,,
2023-11-24T09:47:00.000Z,"43,794.75",,,
2023-11-24T09:48:00.000Z,"43,795.20",,,
2023-11-24T09:49:00.000Z,"43,789.85",,,
2023-11-24T09:50:00.000Z,"43,783.00",,,
2023-11-24T09:51:00.000Z,"43,776.60",,,
2023-11-24T09:52:00.000Z,"43,783.80",,,
2023-11-24T09:53:00.000Z,"43,779.70",,,
2023-11-24T09:54:00.000Z,"43,783.15",,,
2023-11-24T09:55:00.000Z,"43,785.90",,,
2023-11-24T09:56:00.000Z,"43,774.20",,,
2023-11-24T09:57:00.000Z,"43,776.25",,,
2023-11-24T09:58:00.000Z,"43,767.65",,,
2023-11-24T09:59:00.000Z,"43,744.70",,,
