Date,LTP,,,
2023-12-08T09:05:00.000Z,46990.10,,,
2023-12-08T09:06:00.000Z,47013.85,,,
2023-12-08T09:07:00.000Z,47014.10,,,
2023-12-08T09:08:00.000Z,47033.40,,,
2023-12-08T09:09:00.000Z,47043.30,,,
2023-12-08T09:10:00.000Z,47053.45,,,
2023-12-08T09:11:00.000Z,47058.45,,,
2023-12-08T09:12:00.000Z,47048.40,,,
2023-12-08T09:13:00.000Z,47049.35,,,
2023-12-08T09:14:00.000Z,47062.95,,,
2023-12-08T09:15:00.000Z,47077.45,,,
2023-12-08T09:16:00.000Z,47089.85,,,
2023-12-08T09:17:00.000Z,47111.30,,,
2023-12-08T09:18:00.000Z,47122.10,,,
2023-12-08T09:19:00.000Z,47152.05,,,
2023-12-08T09:20:00.000Z,47116.30,,,
2023-12-08T09:21:00.000Z,47135.00,,,
2023-12-08T09:22:00.000Z,47132.55,,,
2023-12-08T09:23:00.000Z,47135.40,,,
2023-12-08T09:24:00.000Z,47143.55,,,
2023-12-08T09:25:00.000Z,47162.50,,,
2023-12-08T09:26:00.000Z,47169.85,,,
2023-12-08T09:27:00.000Z,47152.60,,,
2023-12-08T09:28:00.000Z,47132.65,,,
2023-12-08T09:29:00.000Z,47142.20,,,
2023-12-08T09:30:00.000Z,47144.05,,,
2023-12-08T09:31:00.000Z,47159.70,,,
2023-12-08T09:32:00.000Z,47161.40,,,
2023-12-08T09:33:00.000Z,47224.00,,,
2023-12-08T09:34:00.000Z,47236.45,,,
2023-12-08T09:35:00.000Z,47275.45,,,
2023-12-08T09:36:00.000Z,47281.50,,,
2023-12-08T09:37:00.000Z,47266.20,,,
2023-12-08T09:38:00.000Z,47276.70,,,
2023-12-08T09:39:00.000Z,47262.55,,,
2023-12-08T09:40:00.000Z,47294.90,,,
2023-12-08T09:41:00.000Z,47281.80,,,
2023-12-08T09:42:00.000Z,47273.30,,,
2023-12-08T09:43:00.000Z,47257.10,,,
2023-12-08T09:44:00.000Z,47263.75,,,
2023-12-08T09:45:00.000Z,47284.45,,,
2023-12-08T09:46:00.000Z,47282.50,,,
2023-12-08T09:47:00.000Z,47269.30,,,
2023-12-08T09:48:00.000Z,47259.15,,,
2023-12-08T09:49:00.000Z,47266.85,,,
2023-12-08T09:50:00.000Z,47273.30,,,
2023-12-08T09:51:00.000Z,47258.00,,,
2023-12-08T09:52:00.000Z,47261.60,,,
2023-12-08T09:53:00.000Z,47272.85,,,
2023-12-08T09:54:00.000Z,47287.60,,,
2023-12-08T09:55:00.000Z,47287.00,,,
2023-12-08T09:56:00.000Z,47291.40,,,
2023-12-08T09:57:00.000Z,47287.70,,,
2023-12-08T09:58:00.000Z,47299.35,,,
2023-12-08T09:59:00.000Z,47295.90,,,
